Run #1	Run #1	Run #1	Run #1
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
16,900	0,66	0,27	-3,23
16,950	0,67	0,10	-3,29
17,000	0,67	-0,06	-3,24
17,050	0,66	-0,22	-3,19
17,100	0,65	-0,38	-3,24
17,150	0,62	-0,55	-3,03
17,200	0,59	-0,68	-2,37
17,250	0,56	-0,78	-1,88
17,300	0,51	-0,87	-1,53
17,350	0,47	-0,94	-0,67
17,400	0,42	-0,94	-0,26
17,450	0,37	-0,96	-0,22
17,500	0,32	-0,96	0,64
17,550	0,28	-0,90	1,65
17,600	0,23	-0,80	2,52
17,650	0,20	-0,65	2,99
17,700	0,17	-0,50	3,06
17,750	0,15	-0,34	3,16
17,800	0,14	-0,18	3,15
17,850	0,13	-0,03	3,11
17,900	0,13	0,13	3,13
17,950	0,14	0,29	3,14
18,000	0,16	0,44	3,08
18,050	0,19	0,60	3,09
18,100	0,22	0,75	2,70
18,150	0,26	0,87	1,74
18,200	0,31	0,93	0,90
18,250	0,36	0,96	0,35
18,300	0,40	0,96	-0,10
18,350	0,45	0,94	-0,70
18,400	0,50	0,89	-1,35
18,450	0,54	0,81	-1,83
18,500	0,58	0,71	-2,16
18,550	0,61	0,59	-2,60
18,600	0,64	0,45	-3,15
18,650	0,66	0,28	-3,30
18,700	0,67	0,12	-3,25
18,750	0,67	-0,05	-3,27
18,800	0,66	-0,21	-3,22
18,850	0,65	-0,37	-3,24
18,900	0,62	-0,53	-2,99
18,950	0,59	-0,67	-2,33
19,000	0,56	-0,77	-1,91
19,050	0,52	-0,86	-1,60
19,100	0,47	-0,93	-0,74
19,150	0,42	-0,93	-0,31
19,200	0,38	-0,96	-0,29
19,250	0,33	-0,96	0,59
19,300	0,28	-0,90	1,58
19,350	0,24	-0,80	2,40
19,400	0,20	-0,66	2,96
19,450	0,17	-0,51	3,04
19,500	0,15	-0,35	3,10
19,550	0,14	-0,20	3,14
19,600	0,13	-0,04	3,13
19,650	0,13	0,12	3,13
19,700	0,14	0,27	3,11
19,750	0,16	0,43	3,07
19,800	0,19	0,58	3,07
19,850	0,22	0,73	2,75
19,900	0,26	0,85	1,84
19,950	0,30	0,92	0,95
20,000	0,35	0,95	0,39
20,050	0,40	0,96	-0,07
20,100	0,45	0,94	-0,63
20,150	0,49	0,89	-1,30
20,200	0,54	0,81	-1,80
20,250	0,57	0,71	-2,05
20,300	0,61	0,61	-2,51
20,350	0,63	0,46	-3,15
20,400	0,65	0,29	-3,30
20,450	0,66	0,13	-3,21
20,500	0,67	-0,03	-3,25
20,550	0,66	-0,19	-3,22
20,600	0,65	-0,35	-3,22
20,650	0,63	-0,52	-2,99
20,700	0,60	-0,65	-2,37
20,750	0,56	-0,75	-1,95
20,800	0,52	-0,85	-1,65
20,850	0,48	-0,92	-0,79
20,900	0,43	-0,93	-0,35
20,950	0,38	-0,95	-0,33
21,000	0,33	-0,96	0,52
21,050	0,29	-0,90	1,48
21,100	0,24	-0,81	2,33
21,150	0,21	-0,67	2,90
21,200	0,18	-0,52	3,00
21,250	0,15	-0,37	3,10
21,300	0,14	-0,21	3,12
21,350	0,13	-0,05	3,10
21,400	0,13	0,10	3,11
21,450	0,14	0,26	3,11
21,500	0,16	0,41	3,05
21,550	0,18	0,56	3,03
21,600	0,22	0,71	2,80
21,650	0,26	0,84	1,96
21,700	0,30	0,91	1,00
21,750	0,35	0,94	0,40
21,800	0,39	0,95	-0,05
21,850	0,44	0,94	-0,56
21,900	0,49	0,89	-1,19
21,950	0,53	0,82	-1,79
22,000	0,57	0,72	-2,04
22,050	0,60	0,61	-2,42
22,100	0,63	0,47	-3,08
22,150	0,65	0,31	-3,28
22,200	0,66	0,15	-3,21
22,250	0,67	-0,02	-3,24
22,300	0,66	-0,18	-3,19
22,350	0,65	-0,33	-3,22
22,400	0,63	-0,50	-3,05
22,450	0,60	-0,64	-2,40
22,500	0,56	-0,74	-1,93
22,550	0,52	-0,83	-1,65
22,600	0,48	-0,90	-0,86
22,650	0,43	-0,92	-0,43
22,700	0,39	-0,95	-0,36
22,750	0,34	-0,95	0,49
22,800	0,29	-0,90	1,39
22,850	0,25	-0,82	2,22
22,900	0,21	-0,68	2,85
22,950	0,18	-0,53	2,99
23,000	0,16	-0,38	3,05
23,050	0,14	-0,23	3,12
23,100	0,14	-0,07	3,11
23,150	0,14	0,09	3,08
23,200	0,14	0,24	3,12
23,250	0,16	0,40	3,07
23,300	0,18	0,55	2,91
23,350	0,21	0,69	2,80
23,400	0,25	0,83	2,17
23,450	0,30	0,91	1,11
23,500	0,34	0,94	0,39
23,550	0,39	0,95	-0,09
23,600	0,44	0,93	-0,51
23,650	0,48	0,89	-1,09
23,700	0,53	0,82	-1,73
23,750	0,57	0,72	-2,00
23,800	0,60	0,62	-2,37
23,850	0,63	0,48	-3,03
23,900	0,65	0,32	-3,24
23,950	0,66	0,16	-3,21
24,000	0,66	0,00	-3,24
24,050	0,66	-0,16	-3,15
24,100	0,65	-0,32	-3,22
24,150	0,63	-0,49	-3,05
24,200	0,60	-0,62	-2,40
24,250	0,57	-0,73	-1,98
24,300	0,53	-0,82	-1,68
24,350	0,48	-0,89	-0,90
24,400	0,44	-0,91	-0,47
24,450	0,39	-0,94	-0,40
24,500	0,34	-0,95	0,47
24,550	0,30	-0,89	1,32
24,600	0,25	-0,82	2,03
24,650	0,21	-0,69	2,78
24,700	0,18	-0,54	3,01
24,750	0,16	-0,39	3,05
24,800	0,14	-0,24	3,10
24,850	0,14	-0,08	3,08
24,900	0,14	0,07	3,08
24,950	0,14	0,23	3,09
25,000	0,16	0,38	3,05
25,050	0,18	0,53	2,95
25,100	0,21	0,68	2,83
25,150	0,25	0,82	2,20
25,200	0,29	0,90	1,30
